Genre,Action,Shooter,Sports,RPG,Action-Adv,Fighting,Adventure,Racing,Platform,Misc.
North America,48.15,50.5,33.31,22.15,22.3,8.58,5.27,5.86,5.48,3.64
Japan,10.27,4.42,1.83,9.42,1.96,1.67,1.64,0.76,0.67,0.96
